taxon,aoo,eoo
"Diplotropis ferruginea",100,196040
"Diplotropis incexis",252,899245
"Diplotropis rodriguesii",24,19885
"Dipteryx alata",1556,4346628
"Dipteryx charapilla",4,4
"Dipteryx ferrea",48,37134
"Dipteryx hermetopascoaliana",36,66122
"Dipteryx lacunifera",468,2869058
"Dipteryx magnifica",200,2425828
"Dipteryx micrantha",32,189847
"Dipteryx odorata",784,4216760
"Dipteryx polyphylla",160,1884893
"Dipteryx punctata",500,9144891
"Dipteryx rosea",148,2578074
"Elizabetha durissima",4,4
"Elizabetha paraensis",16,358285
"Elizabetha speciosa",36,9694
"Enterolobium glaziovii",120,1342403
"Enterolobium gummiferum",936,3351295
"Enterolobium monjollo",104,275976
"Eperua duckeana",104,200272
"Eperua glabra",8,8
"Eperua glabriflora",116,104025
"Eperua oleifera",60,505616
"Eriosema defoliatum",264,238160
"Eriosema floribundum",160,231028
"Eriosema glaziovii",168,299712
"Eriosema heterophyllum",904,3439813
"Eriosema longiflorum",116,1370493
"Eriosema platycarpon",40,635407
"Eriosema rigidum",176,198433
"Eriosema venulosum",68,134558
"Erythrina speciosa",636,2696679
"Erythrina verna",356,4049751
"Erythrostemon calycinus",156,154763
"Exostyles glabra",8,8
